"name","mbid","url","image[0].#text","image[1].#text"
"Eminem","b95ce3ff-3d05-4e87-9e01-c97b66af13d4","https://www.last.fm/music/Eminem","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem & Linkin Park","b95ce3ff-3d05-4e87-9e01-c97b66af13d4","https://www.last.fm/music/Eminem+&+Linkin+Park","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"EminemMusic","","https://www.last.fm/music/EminemMusic","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem & Lil Wayne","b95ce3ff-3d05-4e87-9e01-c97b66af13d4","https://www.last.fm/music/Eminem+&+Lil+Wayne","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem & Elton John","b95ce3ff-3d05-4e87-9e01-c97b66af13d4","https://www.last.fm/music/Eminem+&+Elton+John","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem, Juice WRLD","","https://www.last.fm/music/Eminem,+Juice+WRLD","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem & Nate Dogg","b95ce3ff-3d05-4e87-9e01-c97b66af13d4","https://www.last.fm/music/Eminem+&+Nate+Dogg","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem feat. Jessie Reyez","","https://www.last.fm/music/Eminem+feat.+Jessie+Reyez","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem feat. Ed Sheeran","","https://www.last.fm/music/Eminem+feat.+Ed+Sheeran","",""
"Eminem/Rihanna","","https://www.last.fm/music/Eminem%2FRihanna","",""
"Eminem feat. Juice WRLD","","https://www.last.fm/music/Eminem+feat.+Juice+WRLD","",""
"Eminem, Obie Trice, Stat Quo, Bobby Creekwater & Ca$his","b95ce3ff-3d05-4e87-9e01-c97b66af13d4","https://www.last.fm/music/Eminem,+Obie+Trice,+Stat+Quo,+Bobby+Creekwater+&+Ca$his","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem, Royce da 5'9""","","https://www.last.fm/music/Eminem,+Royce+da+5%279%22","",""
"Eminem Feat. Joyner Lucas","","https://www.last.fm/music/Eminem+Feat.+Joyner+Lucas","",""
"Eminem Feat. Skylar Grey","b95ce3ff-3d05-4e87-9e01-c97b66af13d4","https://www.last.fm/music/Eminem+Feat.+Skylar+Grey","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"50 Cent, Eminem, Ca$his & Lloyd Banks","8e68819d-71be-4e7d-b41d-f1df81b01d3f","https://www.last.fm/music/50+Cent,+Eminem,+Ca$his+&+Lloyd+Banks","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem, Joyner Lucas","","https://www.last.fm/music/Eminem,+Joyner+Lucas","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem & Snoop Dogg","b95ce3ff-3d05-4e87-9e01-c97b66af13d4","https://www.last.fm/music/Eminem+&+Snoop+Dogg","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem & Skylar Grey","","https://www.last.fm/music/Eminem+&+Skylar+Grey","",""
"Eminem, Skylar Grey","","https://www.last.fm/music/Eminem,+Skylar+Grey","",""
"Eminem Ft. Ed Sheeran","","https://www.last.fm/music/Eminem+Ft.+Ed+Sheeran","",""
"Eminem, Ed Sheeran","","https://www.last.fm/music/Eminem,+Ed+Sheeran","",""
"Drake feat. Kanye West, Lil Wayne & Eminem","9fff2f8a-21e6-47de-a2b8-7f449929d43f","https://www.last.fm/music/Drake+feat.+Kanye+West,+Lil+Wayne+&+Eminem","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem, Dido","","https://www.last.fm/music/Eminem,+Dido","",""
"Eminem, Nate Dogg","","https://www.last.fm/music/Eminem,+Nate+Dogg","",""
"Eminem, Jessie Reyez","","https://www.last.fm/music/Eminem,+Jessie+Reyez","",""
"Eminem feat. Dina Rae","b95ce3ff-3d05-4e87-9e01-c97b66af13d4","https://www.last.fm/music/Eminem+feat.+Dina+Rae","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Dr. Dre feat. Eminem & Skylar Grey","5f6ab597-f57a-40da-be9e-adad48708203","https://www.last.fm/music/Dr.+Dre+feat.+Eminem+&+Skylar+Grey","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem feat. Rihanna","b95ce3ff-3d05-4e87-9e01-c97b66af13d4","https://www.last.fm/music/Eminem+feat.+Rihanna","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem, Rihanna","","https://www.last.fm/music/Eminem,+Rihanna","",""